,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
0,"Action, Adventure, Fantasy, Sci-Fi",83,18 Dec 2009,Avatar,tt0499549,7.8,"1,033,303"
1,"Action, Adventure, Fantasy",50,25 May 2007,Pirates of the Caribbean: At World's End,tt0449088,7.1,"552,467"
2,"Action, Adventure, Western",37,03 Jul 2013,The Lone Ranger,tt1210819,6.4,"207,397"
3,"Action, Adventure, Sci-Fi",51,09 Mar 2012,John Carter,tt0401729,6.6,"237,556"
4,"Action, Thriller",78,20 Jul 2012,The Dark Knight Rises,tt1345836,8.4,"1,372,667"
5,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",71,24 Nov 2010,Tangled,tt0398286,7.8,"362,035"
6,"Adventure, Fantasy",66,13 Dec 2013,The Hobbit: The Desolation of Smaug,tt1170358,7.8,"561,110"
7,"Adventure, Family, Fantasy",58,14 Dec 2012,The Hobbit: An Unexpected Journey,tt0903624,7.9,"715,841"
8,"Action, Adventure, Fantasy",45,20 May 2011,Pirates of the Caribbean: On Stranger Tides,tt1298650,6.6,"443,391"
9,"Adventure, Family, Fantasy, Mystery",78,15 Jul 2009,Harry Potter and the Half-Blood Prince,tt0417741,7.6,"413,579"
10,"Action, Adventure, Sci-Fi",72,28 Jun 2006,Superman Returns,tt0348150,6.1,"259,332"
11,"Action, Adventure, Thriller",58,14 Nov 2008,Quantum of Solace,tt0830515,6.6,"375,467"
12,"Action, Adventure, Drama, Fantasy",28,25 Dec 2013,47 Ronin,tt1335975,6.3,"134,518"
13,"Action, Adventure, Sci-Fi",55,14 Jun 2013,Man of Steel,tt0770828,7.1,"639,837"
14,"Action, Adventure, Family, Fantasy",62,16 May 2008,The Chronicles of Narnia: Prince Caspian,tt0499448,6.5,"177,484"
15,"Action, Adventure, Fantasy",53,07 Jul 2006,Pirates of the Caribbean: Dead Man's Chest,tt0383574,7.3,"608,558"
16,"Action, Adventure, Sci-Fi",66,03 Jul 2012,The Amazing Spider-Man,tt0948470,7.0,"520,000"
