station,line,local_authority,zone,usage
Acton Town,"District
Piccadilly",Ealing,3,6.04
Aldgate,"Metropolitan[a]
Circle",City of London,1,8.85
Aldgate East,"Hammersmith & City[d]
District",Tower Hamlets,1,14
Alperton,Piccadilly[h],Brent,4,3.05
Amersham,Metropolitan,Chiltern,9,2.32
Angel,Northern,Islington,1,19.2
Archway,Northern,Islington,2 & 3,9.28
Arnos Grove,Piccadilly,Enfield,4,4.61
Arsenal,Piccadilly,Islington,2,2.82
Baker Street,"Metropolitan[b]
Bakerloo
Circle
Jubilee
Hammersmith & City",City of Westminster,1,28.78
Balham,Northern,Wandsworth,3,14.31
Bank,"Waterloo & City
Northern
Central",City of London,1,"61.80
[note 3]"
Barbican,"Metropolitan[b]
Circle
Hammersmith & City",City of London,1,11.83
Barking,"District[j]
Hammersmith & City",Barking and Dagenham,4,18.2
Barkingside,Central,Redbridge,4,1.62
Barons Court,"District
Piccadilly",Hammersmith and Fulham,2,7.12
Bayswater,"District[c]
Circle",City of Westminster,1,4.71
Becontree,District,Barking and Dagenham,5,3.64
Belsize Park,Northern,Camden,2,6.24
Bermondsey,Jubilee,Southwark,2,10.64
Bethnal Green,Central,Tower Hamlets,2,15.57
Blackfriars,"District[i]
Circle",City of London,1,14.83
Blackhorse Road,Victoria,Waltham Forest,3,9
Bond Street,"Central
Jubilee",City of Westminster,1,38.8
Borough,Northern,Southwark,1,5.87
Boston Manor,Piccadilly[l],"Ealing
Hounslow",4,2.29
Bounds Green,Piccadilly,Haringey,3 & 4,6.39
Bow Road,"District[j]
Hammersmith & City",Tower Hamlets,2,5.66
Brent Cross,Northern,Barnet,3,2.52
Brixton,Victoria,Lambeth,2,32.84
Bromley-by-Bow,"District[j]
Hammersmith & City",Tower Hamlets,2 & 3,3.75
Buckhurst Hill,Central,Epping Forest,5,2.3
Burnt Oak,Northern,Barnet,4,4.49
Caledonian Road,Piccadilly,Islington,2,5.72
Camden Town,Northern,Camden,2,22.51
Canada Water,Jubilee,Southwark,2,15.1
Canary Wharf,Jubilee,Tower Hamlets,2,50.91
Canning Town,Jubilee,Newham,2 & 3,13.28
Cannon Street,"District[i]
Circle",City of London,1,9.39
Canons Park,Jubilee[e],Harrow,5,3.07
Chalfont & Latimer,Metropolitan,Chiltern,8,1.67
Chalk Farm,Northern,Camden,2,5.89
Chancery Lane,Central,"City of London
Camden",1,17.48
Charing Cross,"Bakerloo
Northern",City of Westminster,1,19.47
Chesham,Metropolitan,Chiltern,9,1.13
Chigwell,Central,Epping Forest,4,0.5
Chiswick Park,District,Ealing,3,2.25
Chorleywood,Metropolitan,Three Rivers,7,0.75
Clapham Common,Northern,Lambeth,2,10.49
Clapham North,Northern,Lambeth,2,6.86
Clapham South,Northern,Wandsworth,2 & 3,8.65
Cockfosters,Piccadilly,Enfield,5,1.93
Colindale,Northern,Barnet,4,7.14
Colliers Wood,Northern,Merton,3,6.7
Covent Garden,Piccadilly,City of Westminster,1,17.54
Croxley,Metropolitan,Three Rivers,7,1.13
Dagenham East,District,Barking and Dagenham,5,3
Dagenham Heathway,District,Barking and Dagenham,5,6.08
Debden,Central,Epping Forest,6,2.47
Dollis Hill,Jubilee[e],Brent,3,4.26
Ealing Broadway,"District
Central",Ealing,3,16.79
Ealing Common,"District
Piccadilly",Ealing,3,3.19
Earl's Court,"District
Piccadilly",Kensington and Chelsea,1 & 2,19.99
East Acton,Central,Hammersmith and Fulham,2,4.08
East Finchley,Northern,Barnet,3,7.31
East Ham,"District[j]
Hammersmith & City",Newham,3 & 4,14.7
East Putney,District,Wandsworth,2 & 3,6.18
Eastcote,"Metropolitan
Piccadilly[k]",Hillingdon,5,3.01
Edgware,Northern,Barnet,5,5.28
Edgware Road,Bakerloo,City of Westminster,1,4.62
Edgware Road,"Hammersmith & City[c][d]
District
Circle",City of Westminster,1,7.15
Elephant & Castle,"Northern
Bakerloo",Southwark,1 & 2,22.1
Elm Park,District,Havering,6,3.28
Embankment,"District[i]
Bakerloo
Northern
Circle",City of Westminster,1,22.13
Epping,Central,Epping Forest,6,3.97
Euston,"Northern
Victoria",Camden,1,43.07
Euston Square,"Metropolitan[b]
Circle
Hammersmith & City",Camden,1,14.13
Fairlop,Central,Redbridge,4,1.24
Farringdon,"Metropolitan[b]
Circle
Hammersmith & City",Islington,1,20.14
Finchley Central,Northern,Barnet,4,7.2
Finchley Road,"Metropolitan
Jubilee[f]",Camden,2,9.63
Finsbury Park,"Piccadilly
Victoria",Islington,2,31.22
Fulham Broadway,District,Hammersmith and Fulham,2,9.63
Gants Hill,Central,Redbridge,4,6.83
Gloucester Road,"District[c]
Piccadilly
Circle",Kensington and Chelsea,1,13.84
Golders Green,Northern,Barnet,3,8.41
Goldhawk Road,"Hammersmith & City[m]
Circle",Hammersmith and Fulham,2,2.14
Goodge Street,Northern,Camden,1,7.52
Grange Hill,Central,Redbridge,4,0.67
Great Portland Street,"Metropolitan[b]
Circle
Hammersmith & City",City of Westminster,1,8.08
Greenford,Central,Ealing,4,4.68
Green Park,"Piccadilly
Victoria
Jubilee",City of Westminster,1,39.34
Gunnersbury,District,Hounslow,3,5.71
Hainault,Central,Redbridge,4,3.8
Hammersmith,"District
Piccadilly",Hammersmith and Fulham,2,29.31
Hammersmith,"Hammersmith & City[m]
Circle",Hammersmith and Fulham,2,10.85
Hampstead,Northern,Camden,2 & 3,4.83
Hanger Lane,Central,Ealing,3,3.89
Harlesden,Bakerloo,Brent,3,3.2
Harrow & Wealdstone,Bakerloo,Harrow,5,4.83
Harrow-on-the-Hill,Metropolitan,Harrow,5,10.96
Hatton Cross,Piccadilly,Hillingdon,5 & 6,3.21
